#
# Environment-specific amino acid substitution matrices
# Creator: subst version 1.09
# CreationDate: 25/7/2000 16:48:13
#
# Definitions for structural environments:
# 6 features used
#
# domain interface;TF;Dd;T;T
# secondary structure and phi angle;HEPC;HEPC;F;F
# solvent accessibility;TF;Aa;F;F
# hydrogen bond to other sidechain/heterogen;TF;Ss;F;F
# hydrogen bond to mainchain CO;TF;Oo;F;F
# hydrogen bond to mainchain NH;TF;Nn;F;F
#
# (read in from classdef.dat)
#
# Number of alignments: 177
# (list of .tem files read in from TEMLIST)
#
# Total number of environments: 64
# Weighting scheme: clustering at PID 60 level
#
# Smoothing:
# p1(ri) (i.e., amino acid composition) is estimated by summing over
# each row in all matrices (no smoothing)
#                           ^^^^^^^^^^^^
# p2(ri|Rj) is estimated as:
#    p2(ri|Rj) = omega1 * p1(ri) + omega2 * W2(ri|Rj)
# 
# p3(ri|Rj,fq) is estimated as:
#    p3(ri|Rj,fq) = omega1 * A2(ri|fq) + omega2 * W3(ri|Rj,fq)
# where
#    A2(ri|fq) = p2(ri|fq) (fixed fq; partial smoothing)
# 
# The smoothing procedure is curtailed here and finally
# p5(ri|Rj,...) is estimated as:
#    p5(ri|Rj,...) = omega1 * A3(ri|Rj,fq) + omega2 * W5(ri|Rj...)
# where
#    A3(ri|Rj,fq) = sum over fq omega_c * pc3(Rj,fq)
# 
# Weights (omegas) are calculated as in Topham et al. 1993)
# 
# sigma value used is:  5.00
# 
# Each column (j) represents the probability distribution for the 
# likelihood of acceptance of a mutational event by a residue type j in 
# a particular structural environment (specified after >) leading to 
# any other residue type (i).
#
# The probabilities were then divided by the background probabilities
# which were derived from the environment-independent amino acid frequencies.
#                             ^^^^^^^^^^^^^^^^^^^^^^^
#
# Shown here are logarithms of these values multiplied by 3/log(2) 
# rounded to the nearest integer (log-odds scores in 1/3 bit units).
#
# There are 21 amino acids considered.
# ACDEFGHIKLMNPQRSTVWYJ
#
# For total (composite) matrix, Entropy = 0.6468 bits, Expected score = -0.5598
#
>HASON 0
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6   -1   -1   -2    1   -1   -1    0   -1   -1   -5    0   -1   -1    1   -1    1   -3   -1    2 
C     -8   18  -10  -11   -6   -8   -9  -11   -9   -7   -7   -9  -12  -10   -7  -11   -8  -10   -6   -6    0 
D     -1   -6    9    2   -5   -1   -2   -5   -1   -4   -6    2    0    1   -2   -2    0   -4   -7   -5   -5 
E      1   -6    2    9   -4   -1   -1   -3    1   -3   -2    0    0    3    0    0   -2   -2   -5   -3   -4 
F     -4   -7   -3   -6    9   -6    0    0   -4    2    1   -3   -6   -4   -4   -3   -3    0    4    4    0 
G     -1   -8   -4   -4   -6    7   -4   -6   -3   -6   -5   -3   -3   -6   -4    0   -4   -5   -6   -7   -2 
H     -2   -6    1   -4    0   -2   12   -3    0   -2   -2    1   -2    1    1    0   -2   -2   -2    1   -1 
I     -3  -10   -9   -8    0   -6   -5    6   -3    2    2   -6   -4   -4   -4   -7   -2    3   -3   -2    0 
K      1   -7   -2   -3   -3   -1   -1   -2    7   -2   -2    1    0    0    3    0   -1   -1   -6   -5   -4 
L     -2   -6   -8   -8    2   -5   -4    3   -3    6    3   -5   -4   -3   -3   -4   -2    1   -2   -1    0 
M     -1  -10   -9   -6    2   -4   -2    3   -2    4   10    0   -4    2   -2    0   -1    2   -1    0    0 
N     -1   -3    3    0   -4    0    2   -4    0   -3   -3    9   -2   -1    0    1    2   -3   -6   -4   -3 
P     -1  -10   -4   -6   -6   -2   -1   -3   -2   -4   -5   -5    9   -4   -3   -3   -3   -3   -8   -2   -2 
Q      0   -4   -1    5   -3   -2    0   -3    2   -2    0    2    0    9    1    0    0   -1   -4   -4   -3 
R     -1   -7   -4   -2   -3   -2    1   -2    3   -2   -2    1   -1    0    9   -1   -1   -2   -3   -4   -3 
S      1   -6   -1   -2   -4    0   -2   -4   -1   -4   -3    0    0   -3   -1    6    2   -2   -6   -3   -1 
T     -1   -8   -3    0   -3   -2   -2   -1   -1   -2   -2    0   -2   -3   -1    3    7    0   -7   -3    0 
V     -1   -9   -6   -4   -1   -5   -4    3   -3    1    0   -7   -3   -4   -3   -4   -2    5   -4   -1    2 
W     -4   -7   -9   -7    4   -5   -3   -3   -5   -1   -2   -9   -7   -7   -3   -8   -8   -4   15    3   -7 
Y     -4   -5   -4   -7    4   -5    3   -1   -3   -1    1   -3   -4   -4   -2   -6   -4   -2    3   10   -1 
J      1    0   -8   -1    0   -1    1    1   -3    1   -1   -6   -4   -7   -3    2   -1    2   -5   -1   14 
U     -3   17   -9   -5   -3   -4   -3   -3   -6   -3   -4   -8   -8   -8   -5   -3   -4   -2   -5   -3   10 
>HASOn 1
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6    0    1   -3    0    0   -1    2   -1    0   -1    0    1   -1    2    0    0   -3   -4    2 
C     -7   18   -8  -12   -5   -8  -12  -10  -10   -7   -9  -14  -11    0   -7  -13   -8   -9   -6   -8   -1 
D     -1   -6    6    2   -5   -1   -4   -5   -1   -5   -6    1    0    1   -2    1   -1   -4   -6   -2   -4 
E      0   -6    3    8   -4   -2   -1   -3   -1   -3   -2    1    0    2   -1    0    0   -2   -4   -4   -2 
F     -4   -6   -4   -7    9   -6   -2    0   -3    2    1   -5   -5   -5   -4   -6   -6    0    4    5   -1 
G     -1   -8   -3   -3   -6    7   -6   -6   -5   -6   -5   -4   -3   -3   -5   -1   -3   -5   -5   -8   -2 
H     -2   -6   -1    0    0   -3   12   -3   -2   -3   -2    3   -2    1    2   -2    1   -3    0    1   -2 
I     -2   -9   -6   -7    0   -6   -4    6   -1    3    2   -4   -4   -4   -2   -5   -1    3   -4   -2    2 
K      0   -8    1    1   -4   -1   -1   -3    7   -2   -1    1    0    2    3   -2    1   -2   -3   -3    0 
L     -2   -7   -6   -6    2   -6   -3    3   -3    6    3   -2   -4   -3   -3   -3   -1    1   -1   -3    1 
M     -1   -9   -8   -4    1   -4   -2    3   -1    4    9   -5   -4   -1   -3    0   -2    1   -2    0    2 
N     -2   -4    1    0   -4    0    1   -4   -1   -4   -3    8   -2    1    0    0    1   -4   -7   -2   -4 
P     -1  -10   -2   -4   -5   -2   -2   -4   -5   -4   -5   -5    9   -2   -5   -3   -7   -3   -8   -5   -5 
Q      0   -4    2    2   -3   -2    0   -3   -1   -3    0    1   -1    7   -1   -1    0   -2   -4   -5   -1 
R     -1   -6    1    1   -4   -2    0   -3    3   -2   -2    1   -1    2    9    0    1   -3   -4    2    0 
S      1   -7    0   -2   -4    0    0   -4   -3   -4   -3   -1    0    0   -2    5    1   -3   -5   -6   -2 
T     -1   -7   -2   -2   -3   -2    0   -1   -1   -2   -2   -1   -2   -2   -3    2    5    0   -4   -3   -1 
V     -1   -9   -4   -5   -1   -5   -3    3   -3    1    0   -3   -4   -4   -5   -3    1    5   -5   -2    2 
W     -4   -7   -6   -4    4   -5   -3   -3   -5   -1   -1   -7   -7   -4   -3  -11  -12   -4   15    5   -8 
Y     -3   -5   -5   -6    4   -5    0   -1   -3   -1    0   -2   -4   -5   -1   -4   -3   -2    3   10    1 
J      1    0   -7  -10    0   -1   -1    0   -6    1   -1   -8   -4   -9   -7    3    1    2   -5   -3   12 
U     -2   17   -8  -11   -3   -4   -5   -3   -8   -3   -4  -11   -7   -2   -7   -2   -2   -2   -6   -5    8 
>HASoN 2
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6    0   -2   -3    0   -2   -1    0   -1    0   -2    0   -1   -1    0   -1    0   -3   -4    2 
C     -7   18  -13  -15   -5   -8   -9  -10  -10   -7   -8   -7  -11  -12   -7   -9   -6   -9   -6   -7    0 
D     -1   -6    7    3   -5   -1   -2   -5    0   -5   -7    2    0    2   -1    1   -1   -4   -6   -5   -5 
E      0   -6    3    8   -4   -2   -1   -3    2   -3   -1    0    0    4    1   -2   -1   -2   -4   -2   -6 
F     -4   -6   -6   -5    9   -6   -1    0   -5    2    0   -3   -5   -5   -5    1   -4    0    4    6   -1 
G     -1   -8   -5   -5   -6    7   -4   -6   -3   -6   -4   -2   -3   -7   -4   -1   -3   -5   -5   -8   -3 
H     -2   -6    0   -2    0   -3   12   -3    0   -3   -3    1   -2    2    1   -2   -2   -3   -2    2   -2 
I     -2   -9   -5   -6    0   -6   -5    6   -4    3    2   -5   -4   -9   -4   -6   -3    3   -3   -2    0 
K      0   -8    1   -2   -4   -1   -1   -3    6   -2   -3    0    0   -1    3   -2   -1   -2   -5    0   -5 
L     -2   -7   -5   -5    2   -6   -3    3   -3    6    3   -3   -4   -5   -3   -5   -3    1   -1    0   -1 
M     -1   -9   -2   -3    1   -4   -2    3   -2    4   10   -2   -4    1   -2   -4   -3    1    0    1    0 
N     -2   -4    1   -2   -4    0    2   -4    0   -4   -3    7   -2    2    0    0    0   -4   -6   -4   -4 
P     -1  -10   -4   -3   -5   -2   -3   -4   -2   -4   -4   -3    9   -5   -2    2   -2   -3   -7   -7    0 
Q      0   -4    2    4   -3   -2    0   -3    2   -3    2    0   -1    9    2   -1   -1   -2   -4   -6   -3 
R     -1   -6   -1   -1   -4   -2    1   -3    3   -2   -1   -1   -1   -1    8   -2   -2   -3   -3   -3   -4 
S      1   -7    0   -3   -4    0   -2   -4   -1   -4   -4    1    0   -1   -1    6    2   -3   -5   -6   -1 
T     -1   -7   -3   -1   -3   -2   -2   -1   -1   -2   -3    0   -2   -4   -1    1    8    0   -6   -4   -1 
V     -1   -9   -3   -4   -1   -5   -4    3   -3    1    0   -4   -4   -6   -4   -5   -2    5   -4   -1    2 
W     -4   -7   -6   -3    4   -5   -3   -3   -6   -1   -2   -7   -7   -3   -3   -7   -7   -4   15    3   -8 
Y     -3   -5   -3   -3    4   -5    1   -1   -3   -1    0    2   -4    0   -2   -2   -3   -2    3   10   -2 
J      1    0  -11  -15    0   -1    1    0   -3    1   -2   -4   -4   -8   -4   -2   -1    2   -5   -4   16 
U     -2   17  -13  -15   -3   -4   -3   -3   -6   -3   -5   -6   -7  -10   -6   -6   -3   -2   -5   -6   12 
>HASon 3
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6    1    1   -3    0   -2   -2    0   -2    0    0   -1    1    0    2    1    0   -2   -2    2 
C     -6   18  -13  -23   -5   -7  -13   -9  -17   -7  -14   -2  -11   -6   -6  -17  -13   -9  -11   -3    7 
D     -1   -6    6    2   -5   -1   -2   -5    0   -5   -5    2   -1    1    0    1   -1   -5   -4   -3   -2 
E      0   -6    4    7   -4   -2    0   -4    2   -4   -1    3    0    4    2    2    1   -3   -2   -5   -5 
F     -3   -5   -5   -5    9   -6   -5    0   -5    2    0   -6   -5   -4   -4   -6   -6    0    2    4   -1 
G     -1   -8   -3   -4   -6    7   -7   -6   -4   -6   -3   -3   -3   -2   -5   -2   -4   -5  -10   -6   -2 
H     -2   -6   -1    0    0   -3   13   -4   -1   -3   -2    2   -2    0    2    2   -3   -3    1    1   -1 
I     -2   -9   -6   -4    0   -6   -6    7   -3    3    0   -9   -4   -6   -5   -7   -2    4   -5   -2   -1 
K      0   -8    1    2   -4   -2    0   -3    6   -3    1    1   -1    3    3    0   -1   -2   -8   -2   -1 
L     -2   -7   -5   -5    2   -6   -4    3   -2    6    2   -5   -4   -4   -2   -6   -4    1   -3   -1    0 
M     -1   -9   -4   -3    1   -4   -2    2   -2    4    8    0   -4   -2   -1   -4   -1    1   -3   -2    0 
N     -2   -4    0    0   -4    0    1   -4    0   -4   -2    6   -2    0   -1   -1   -2   -4   -7   -2   -4 
P     -1  -10   -1   -2   -5   -3   -3   -4   -3   -4   -4   -3   10   -2   -4    0   -1   -3  -12   -7   -2 
Q      0   -5    1    2   -3   -2    1   -3    2   -3    3    3   -1    6    1    1    1   -2   -5   -2   -2 
R     -1   -6    1    1   -4   -2    1   -3    3   -3   -1    2   -1    2    8   -1   -2   -3   -2    1   -3 
S      1   -7    0   -1   -4    0   -2   -4   -1   -4   -2    0    0   -1   -1    5    2   -3   -7   -4    0 
T     -1   -7   -2   -1   -3   -3   -4   -2   -3   -2   -2   -2   -2   -2   -2    1    6    0   -6   -2   -1 
V     -1   -8   -4   -3   -1   -5   -4    3   -3    1   -1   -4   -4   -3   -4   -4   -2    6   -5   -3    2 
W     -4   -6   -8   -7    4   -5   -7   -3   -4   -1   -3   -7   -7   -6   -3   -1   -1   -4   16    2   -7 
Y     -3   -5   -3   -3    4   -5    2   -1   -3   -1    2   -1   -4   -3   -2   -5   -2   -2    2   10   -2 
